event_id,store_id,channel,message,event_type,severity,sentiment,requires_response,recommended_action
train-0017,store-alpha,phone,중복 결제 가능성이 있어 아이스 아메리카노 주문의 환불 가능 여부를 확인해야 합니다.,refund,high,negative,true,주문 번호 확인 후 취소 상태 확인
train-0018,store-beta,mobile_order,점심 시간 주문이 몰려 대기 시간이 길어졌고 고객이 빠른 안내를 요청했습니다.,delay,medium,negative,true,지연 원인 확인 후 고객에게 공지
train-0019,store-gamma,staff_app,냉장 진열대 온도가 8도로 올라 상품 상태 점검이 필요합니다.,quality,medium,negative,true,온도와 포장 상태 점검
train-0020,store-delta,delivery,영수증에는 세트 메뉴가 표시되지만 고객은 단품만 받았다고 문의했습니다.,order_issue,high,negative,true,누락 상품 재제공 또는 환불 안내
train-0021,store-alpha,counter,신입 직원이 환불 요청 시 주문 번호와 결제 수단을 먼저 확인해야 하는지 질문했습니다. 운영자는 처리 상태를 기록해야 합니다.,staff_note,medium,neutral,true,직원 인수인계 기록 확인
train-0022,store-beta,phone,대기 줄 안내가 명확하지 않아 고객이 순서 문제로 항의했습니다.,complaint,medium,negative,true,고객 불편 내용 확인 후 응대 기록
train-0023,store-gamma,mobile_order,창고 통로에 박스가 쌓여 이동 동선이 막혔습니다.,safety,medium,negative,true,즉시 현장 안전 조치
train-0024,store-delta,staff_app,진열대 창고 재고와 POS 재고 수량이 일치하지 않습니다.,inventory,medium,neutral,true,재고 확인 후 발주 또는 품절 안내
train-0025,store-alpha,delivery,고객이 취소 버튼을 눌렀지만 매장에는 주문이 남아 있어 환불 절차를 문의했습니다.,refund,high,negative,true,결제 내역 확인 후 환불 절차 안내
train-0026,store-beta,counter,모바일 주문 완료 시간이 지났지만 상품 준비 상태가 바뀌지 않았습니다.,delay,medium,negative,true,지연 원인 확인 후 고객에게 공지
train-0027,store-gamma,phone,고객이 음료 맛이 평소와 다르다고 제조 기준 확인을 요청했습니다.,quality,medium,negative,true,온도와 포장 상태 점검
train-0028,store-delta,mobile_order,주문 번호와 픽업 상품이 일치하지 않아 매장 확인이 필요합니다.,order_issue,medium,negative,true,누락 상품 재제공 또는 환불 안내
train-0029,store-alpha,staff_app,창고 담당자가 다음 근무자에게 청소 상태를 인수인계했습니다.,staff_note,low,neutral,true,마감 체크리스트에 반영
train-0030,store-beta,delivery,매장 입구 안내 문구가 부족해 고객이 이용 방법을 문의했습니다.,complaint,medium,negative,true,매장 환경 점검
train-0031,store-gamma,counter,뜨거운 음료가 쏟아져 화상 위험이 있어 즉시 정리가 필요합니다. 운영자는 처리 상태를 기록해야 합니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,safety,high,negative,true,즉시 현장 안전 조치
train-0032,store-delta,phone,모바일 주문에는 판매 가능으로 보이지만 실제 매장에는 샌드위치 재고가 없습니다.,inventory,medium,neutral,true,재고 확인 후 발주 또는 품절 안내
train-0033,store-alpha,mobile_order,고객이 아이스 아메리카노 환불 처리가 지연되어 강하게 항의했습니다.,refund,medium,negative,true,결제 내역 확인 후 환불 절차 안내
train-0034,store-beta,staff_app,직원 앱 주문이 13분 이상 지연되어 고객이 픽업 시간을 문의했습니다.,delay,high,negative,true,예상 대기 시간 안내
train-0035,store-gamma,delivery,고객이 샐러드 온도가 기대보다 낮다고 품질 확인을 요청했습니다.,quality,high,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0036,store-delta,counter,주문에는 도시락 옵션이 포함되어 있지만 실제 상품에는 반영되지 않았습니다.,order_issue,high,negative,true,누락 상품 재제공 또는 환불 안내
train-0037,store-alpha,phone,직원이 카운터 점검 중 세트 메뉴 재고 수량이 예상보다 적다고 기록했습니다.,staff_note,low,neutral,false,마감 체크리스트에 반영
train-0038,store-beta,mobile_order,고객이 매장 음악 소리가 커서 주문 확인이 어렵다고 불만을 제기했습니다.,complaint,low,negative,true,매장 환경 점검
train-0039,store-gamma,staff_app,매장 바닥에 음료가 쏟아져 고객이 미끄러질 위험이 있습니다.,safety,high,negative,true,사고 위험 구역 표시 및 관리자 보고
train-0040,store-delta,delivery,샌드위치 재고가 부족해 이후 주문 처리에 지연 가능성이 있습니다.,inventory,high,neutral,true,대체 상품 안내
train-0041,store-alpha,counter,카운터에서 결제 취소가 반영되지 않아 고객이 환불 상태 확인을 요청했습니다. 운영자는 처리 상태를 기록해야 합니다.,refund,high,negative,true,결제 내역 확인 후 환불 절차 안내
train-0042,store-beta,phone,배달 기사 도착 후에도 디저트 준비가 끝나지 않아 지연 안내가 필요합니다.,delay,medium,negative,true,예상 대기 시간 안내
train-0043,store-gamma,mobile_order,포장 상태가 불량해 샐러드 내용물이 새었다는 문의가 들어왔습니다.,quality,medium,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0044,store-delta,staff_app,배달 주문에서 사이드 메뉴 1개가 누락되어 고객이 빠른 재배송을 요청했습니다.,order_issue,high,negative,true,주문 내역과 실제 제공 상품 대조
train-0045,store-alpha,delivery,마감 근무자가 냉장고 온도 기록표가 비어 있어 확인이 필요하다고 남겼습니다.,staff_note,medium,neutral,true,직원 인수인계 기록 확인
train-0046,store-beta,counter,고객이 직원 안내가 충분하지 않아 다시 설명을 요청했습니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,complaint,medium,negative,true,매장 환경 점검
train-0047,store-gamma,phone,고객이 입구 근처에서 넘어짐 사고를 겪어 안전 확인이 필요합니다.,safety,medium,negative,true,사고 위험 구역 표시 및 관리자 보고
train-0048,store-delta,mobile_order,인기 메뉴 원재료가 예상보다 빨리 소진되어 품절 안내가 필요합니다.,inventory,medium,neutral,true,대체 상품 안내
train-0049,store-alpha,staff_app,중복 결제 가능성이 있어 아이스 아메리카노 주문의 환불 가능 여부를 확인해야 합니다.,refund,high,negative,true,주문 번호 확인 후 취소 상태 확인
train-0050,store-beta,delivery,점심 시간 주문이 몰려 대기 시간이 길어졌고 고객이 빠른 안내를 요청했습니다.,delay,medium,negative,true,지연 원인 확인 후 고객에게 공지
train-0051,store-gamma,counter,냉장 진열대 온도가 13도로 올라 상품 상태 점검이 필요합니다. 운영자는 처리 상태를 기록해야 합니다.,quality,medium,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0052,store-delta,phone,영수증에는 세트 메뉴가 표시되지만 고객은 단품만 받았다고 문의했습니다.,order_issue,medium,negative,true,주문 내역과 실제 제공 상품 대조
train-0053,store-alpha,mobile_order,신입 직원이 환불 요청 시 주문 번호와 결제 수단을 먼저 확인해야 하는지 질문했습니다.,staff_note,low,neutral,true,직원 인수인계 기록 확인
train-0054,store-beta,staff_app,대기 줄 안내가 명확하지 않아 고객이 순서 문제로 항의했습니다.,complaint,medium,negative,true,고객 불편 내용 확인 후 응대 기록
train-0055,store-gamma,delivery,카운터 통로에 박스가 쌓여 이동 동선이 막혔습니다.,safety,high,negative,true,즉시 현장 안전 조치
train-0056,store-delta,counter,주방 창고 재고와 POS 재고 수량이 일치하지 않습니다.,inventory,medium,neutral,true,대체 상품 안내
train-0057,store-alpha,phone,고객이 취소 버튼을 눌렀지만 매장에는 주문이 남아 있어 환불 절차를 문의했습니다.,refund,medium,negative,true,주문 번호 확인 후 취소 상태 확인
train-0058,store-beta,mobile_order,모바일 주문 완료 시간이 지났지만 상품 준비 상태가 바뀌지 않았습니다.,delay,high,negative,true,지연 원인 확인 후 고객에게 공지
train-0059,store-gamma,staff_app,고객이 음료 맛이 평소와 다르다고 제조 기준 확인을 요청했습니다.,quality,high,negative,true,온도와 포장 상태 점검
train-0060,store-delta,delivery,주문 번호와 픽업 상품이 일치하지 않아 매장 확인이 필요합니다.,order_issue,high,negative,true,누락 상품 재제공 또는 환불 안내
train-0061,store-alpha,counter,카운터 담당자가 다음 근무자에게 청소 상태를 인수인계했습니다. 운영자는 처리 상태를 기록해야 합니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,staff_note,low,neutral,false,직원 인수인계 기록 확인
train-0062,store-beta,phone,매장 입구 안내 문구가 부족해 고객이 이용 방법을 문의했습니다.,complaint,low,negative,true,고객 불편 내용 확인 후 응대 기록
train-0063,store-gamma,mobile_order,뜨거운 음료가 쏟아져 화상 위험이 있어 즉시 정리가 필요합니다.,safety,high,negative,true,즉시 현장 안전 조치
train-0064,store-delta,staff_app,모바일 주문에는 판매 가능으로 보이지만 실제 매장에는 샌드위치 재고가 없습니다.,inventory,high,neutral,true,재고 확인 후 발주 또는 품절 안내
train-0065,store-alpha,delivery,고객이 아이스 아메리카노 환불 처리가 지연되어 강하게 항의했습니다.,refund,high,negative,true,결제 내역 확인 후 환불 절차 안내
train-0066,store-beta,counter,카운터 주문이 17분 이상 지연되어 고객이 픽업 시간을 문의했습니다.,delay,medium,negative,true,지연 원인 확인 후 고객에게 공지
train-0067,store-gamma,phone,고객이 샐러드 온도가 기대보다 낮다고 품질 확인을 요청했습니다.,quality,medium,negative,true,온도와 포장 상태 점검
train-0068,store-delta,mobile_order,주문에는 도시락 옵션이 포함되어 있지만 실제 상품에는 반영되지 않았습니다.,order_issue,high,negative,true,누락 상품 재제공 또는 환불 안내
train-0069,store-alpha,staff_app,직원이 픽업존 점검 중 세트 메뉴 재고 수량이 예상보다 적다고 기록했습니다.,staff_note,medium,neutral,true,마감 체크리스트에 반영
train-0070,store-beta,delivery,고객이 매장 음악 소리가 커서 주문 확인이 어렵다고 불만을 제기했습니다.,complaint,medium,negative,true,매장 환경 점검
train-0071,store-gamma,counter,매장 바닥에 음료가 쏟아져 고객이 미끄러질 위험이 있습니다. 운영자는 처리 상태를 기록해야 합니다.,safety,medium,negative,true,즉시 현장 안전 조치
train-0072,store-delta,phone,샌드위치 재고가 부족해 이후 주문 처리에 지연 가능성이 있습니다.,inventory,medium,neutral,true,재고 확인 후 발주 또는 품절 안내
train-0073,store-alpha,mobile_order,모바일 주문에서 결제 취소가 반영되지 않아 고객이 환불 상태 확인을 요청했습니다.,refund,high,negative,true,결제 내역 확인 후 환불 절차 안내
train-0074,store-beta,staff_app,배달 기사 도착 후에도 디저트 준비가 끝나지 않아 지연 안내가 필요합니다.,delay,medium,negative,true,예상 대기 시간 안내
train-0075,store-gamma,delivery,포장 상태가 불량해 샐러드 내용물이 새었다는 문의가 들어왔습니다.,quality,medium,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0076,store-delta,counter,배달 주문에서 사이드 메뉴 1개가 누락되어 고객이 빠른 재배송을 요청했습니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,order_issue,medium,negative,true,누락 상품 재제공 또는 환불 안내
train-0077,store-alpha,phone,마감 근무자가 냉장고 온도 기록표가 비어 있어 확인이 필요하다고 남겼습니다.,staff_note,low,neutral,true,마감 체크리스트에 반영
train-0078,store-beta,mobile_order,고객이 직원 안내가 충분하지 않아 다시 설명을 요청했습니다.,complaint,medium,negative,true,매장 환경 점검
train-0079,store-gamma,staff_app,고객이 입구 근처에서 넘어짐 사고를 겪어 안전 확인이 필요합니다.,safety,high,negative,true,사고 위험 구역 표시 및 관리자 보고
train-0080,store-delta,delivery,인기 메뉴 원재료가 예상보다 빨리 소진되어 품절 안내가 필요합니다.,inventory,medium,neutral,true,대체 상품 안내
train-0081,store-alpha,counter,중복 결제 가능성이 있어 아이스 아메리카노 주문의 환불 가능 여부를 확인해야 합니다. 운영자는 처리 상태를 기록해야 합니다.,refund,medium,negative,true,결제 내역 확인 후 환불 절차 안내
train-0082,store-beta,phone,점심 시간 주문이 몰려 대기 시간이 길어졌고 고객이 빠른 안내를 요청했습니다.,delay,high,negative,true,예상 대기 시간 안내
train-0083,store-gamma,mobile_order,냉장 진열대 온도가 9도로 올라 상품 상태 점검이 필요합니다.,quality,high,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0084,store-delta,staff_app,영수증에는 세트 메뉴가 표시되지만 고객은 단품만 받았다고 문의했습니다.,order_issue,high,negative,true,주문 내역과 실제 제공 상품 대조
train-0085,store-alpha,delivery,신입 직원이 환불 요청 시 주문 번호와 결제 수단을 먼저 확인해야 하는지 질문했습니다.,staff_note,low,neutral,false,직원 인수인계 기록 확인
train-0086,store-beta,counter,대기 줄 안내가 명확하지 않아 고객이 순서 문제로 항의했습니다.,complaint,low,negative,true,매장 환경 점검
train-0087,store-gamma,phone,픽업존 통로에 박스가 쌓여 이동 동선이 막혔습니다.,safety,high,negative,true,사고 위험 구역 표시 및 관리자 보고
train-0088,store-delta,mobile_order,입구 창고 재고와 POS 재고 수량이 일치하지 않습니다.,inventory,high,neutral,true,대체 상품 안내
train-0089,store-alpha,staff_app,고객이 취소 버튼을 눌렀지만 매장에는 주문이 남아 있어 환불 절차를 문의했습니다.,refund,high,negative,true,주문 번호 확인 후 취소 상태 확인
train-0090,store-beta,delivery,모바일 주문 완료 시간이 지났지만 상품 준비 상태가 바뀌지 않았습니다.,delay,medium,negative,true,지연 원인 확인 후 고객에게 공지
train-0091,store-gamma,counter,고객이 음료 맛이 평소와 다르다고 제조 기준 확인을 요청했습니다. 운영자는 처리 상태를 기록해야 합니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,quality,medium,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0092,store-delta,phone,주문 번호와 픽업 상품이 일치하지 않아 매장 확인이 필요합니다.,order_issue,high,negative,true,주문 내역과 실제 제공 상품 대조
train-0093,store-alpha,mobile_order,픽업존 담당자가 다음 근무자에게 청소 상태를 인수인계했습니다.,staff_note,medium,neutral,true,직원 인수인계 기록 확인
train-0094,store-beta,staff_app,매장 입구 안내 문구가 부족해 고객이 이용 방법을 문의했습니다.,complaint,medium,negative,true,고객 불편 내용 확인 후 응대 기록
train-0095,store-gamma,delivery,뜨거운 음료가 쏟아져 화상 위험이 있어 즉시 정리가 필요합니다.,safety,medium,negative,true,즉시 현장 안전 조치
train-0096,store-delta,counter,모바일 주문에는 판매 가능으로 보이지만 실제 매장에는 샌드위치 재고가 없습니다.,inventory,medium,neutral,true,대체 상품 안내
train-0097,store-alpha,phone,고객이 아이스 아메리카노 환불 처리가 지연되어 강하게 항의했습니다.,refund,high,negative,true,주문 번호 확인 후 취소 상태 확인
train-0098,store-beta,mobile_order,모바일 주문 주문이 21분 이상 지연되어 고객이 픽업 시간을 문의했습니다.,delay,medium,negative,true,지연 원인 확인 후 고객에게 공지
train-0099,store-gamma,staff_app,고객이 샐러드 온도가 기대보다 낮다고 품질 확인을 요청했습니다.,quality,medium,negative,true,온도와 포장 상태 점검
train-0100,store-delta,delivery,주문에는 도시락 옵션이 포함되어 있지만 실제 상품에는 반영되지 않았습니다.,order_issue,medium,negative,true,누락 상품 재제공 또는 환불 안내
train-0101,store-alpha,counter,직원이 창고 점검 중 세트 메뉴 재고 수량이 예상보다 적다고 기록했습니다. 운영자는 처리 상태를 기록해야 합니다.,staff_note,low,neutral,true,직원 인수인계 기록 확인
train-0102,store-beta,phone,고객이 매장 음악 소리가 커서 주문 확인이 어렵다고 불만을 제기했습니다.,complaint,medium,negative,true,고객 불편 내용 확인 후 응대 기록
train-0103,store-gamma,mobile_order,매장 바닥에 음료가 쏟아져 고객이 미끄러질 위험이 있습니다.,safety,high,negative,true,즉시 현장 안전 조치
train-0104,store-delta,staff_app,샌드위치 재고가 부족해 이후 주문 처리에 지연 가능성이 있습니다.,inventory,medium,neutral,true,재고 확인 후 발주 또는 품절 안내
train-0105,store-alpha,delivery,배달에서 결제 취소가 반영되지 않아 고객이 환불 상태 확인을 요청했습니다.,refund,medium,negative,true,결제 내역 확인 후 환불 절차 안내
train-0106,store-beta,counter,배달 기사 도착 후에도 디저트 준비가 끝나지 않아 지연 안내가 필요합니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,delay,high,negative,true,지연 원인 확인 후 고객에게 공지
train-0107,store-gamma,phone,포장 상태가 불량해 샐러드 내용물이 새었다는 문의가 들어왔습니다.,quality,high,negative,true,온도와 포장 상태 점검
train-0108,store-delta,mobile_order,배달 주문에서 사이드 메뉴 1개가 누락되어 고객이 빠른 재배송을 요청했습니다.,order_issue,high,negative,true,누락 상품 재제공 또는 환불 안내
train-0109,store-alpha,staff_app,마감 근무자가 냉장고 온도 기록표가 비어 있어 확인이 필요하다고 남겼습니다.,staff_note,low,neutral,false,마감 체크리스트에 반영
train-0110,store-beta,delivery,고객이 직원 안내가 충분하지 않아 다시 설명을 요청했습니다.,complaint,low,negative,true,매장 환경 점검
train-0111,store-gamma,counter,고객이 입구 근처에서 넘어짐 사고를 겪어 안전 확인이 필요합니다. 운영자는 처리 상태를 기록해야 합니다.,safety,high,negative,true,즉시 현장 안전 조치
train-0112,store-delta,phone,인기 메뉴 원재료가 예상보다 빨리 소진되어 품절 안내가 필요합니다.,inventory,high,neutral,true,재고 확인 후 발주 또는 품절 안내
train-0113,store-alpha,mobile_order,중복 결제 가능성이 있어 아이스 아메리카노 주문의 환불 가능 여부를 확인해야 합니다.,refund,high,negative,true,결제 내역 확인 후 환불 절차 안내
train-0114,store-beta,staff_app,점심 시간 주문이 몰려 대기 시간이 길어졌고 고객이 빠른 안내를 요청했습니다.,delay,medium,negative,true,예상 대기 시간 안내
train-0115,store-gamma,delivery,냉장 진열대 온도가 14도로 올라 상품 상태 점검이 필요합니다.,quality,medium,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0116,store-delta,counter,영수증에는 세트 메뉴가 표시되지만 고객은 단품만 받았다고 문의했습니다.,order_issue,high,negative,true,누락 상품 재제공 또는 환불 안내
train-0117,store-alpha,phone,신입 직원이 환불 요청 시 주문 번호와 결제 수단을 먼저 확인해야 하는지 질문했습니다.,staff_note,medium,neutral,true,마감 체크리스트에 반영
train-0118,store-beta,mobile_order,대기 줄 안내가 명확하지 않아 고객이 순서 문제로 항의했습니다.,complaint,medium,negative,true,매장 환경 점검
train-0119,store-gamma,staff_app,창고 통로에 박스가 쌓여 이동 동선이 막혔습니다.,safety,medium,negative,true,사고 위험 구역 표시 및 관리자 보고
train-0120,store-delta,delivery,진열대 창고 재고와 POS 재고 수량이 일치하지 않습니다.,inventory,medium,neutral,true,대체 상품 안내
train-0121,store-alpha,counter,고객이 취소 버튼을 눌렀지만 매장에는 주문이 남아 있어 환불 절차를 문의했습니다. 운영자는 처리 상태를 기록해야 합니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,refund,high,negative,true,결제 내역 확인 후 환불 절차 안내
train-0122,store-beta,phone,모바일 주문 완료 시간이 지났지만 상품 준비 상태가 바뀌지 않았습니다.,delay,medium,negative,true,예상 대기 시간 안내
train-0123,store-gamma,mobile_order,고객이 음료 맛이 평소와 다르다고 제조 기준 확인을 요청했습니다.,quality,medium,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0124,store-delta,staff_app,주문 번호와 픽업 상품이 일치하지 않아 매장 확인이 필요합니다.,order_issue,medium,negative,true,주문 내역과 실제 제공 상품 대조
train-0125,store-alpha,delivery,창고 담당자가 다음 근무자에게 청소 상태를 인수인계했습니다.,staff_note,low,neutral,true,직원 인수인계 기록 확인
train-0126,store-beta,counter,매장 입구 안내 문구가 부족해 고객이 이용 방법을 문의했습니다.,complaint,medium,negative,true,매장 환경 점검
train-0127,store-gamma,phone,뜨거운 음료가 쏟아져 화상 위험이 있어 즉시 정리가 필요합니다.,safety,high,negative,true,사고 위험 구역 표시 및 관리자 보고
train-0128,store-delta,mobile_order,모바일 주문에는 판매 가능으로 보이지만 실제 매장에는 샌드위치 재고가 없습니다.,inventory,medium,neutral,true,대체 상품 안내
train-0129,store-alpha,staff_app,고객이 아이스 아메리카노 환불 처리가 지연되어 강하게 항의했습니다.,refund,medium,negative,true,주문 번호 확인 후 취소 상태 확인
train-0130,store-beta,delivery,배달 주문이 25분 이상 지연되어 고객이 픽업 시간을 문의했습니다.,delay,high,negative,true,지연 원인 확인 후 고객에게 공지
train-0131,store-gamma,counter,고객이 샐러드 온도가 기대보다 낮다고 품질 확인을 요청했습니다. 운영자는 처리 상태를 기록해야 합니다.,quality,high,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0132,store-delta,phone,주문에는 도시락 옵션이 포함되어 있지만 실제 상품에는 반영되지 않았습니다.,order_issue,high,negative,true,주문 내역과 실제 제공 상품 대조
train-0133,store-alpha,mobile_order,직원이 카운터 점검 중 세트 메뉴 재고 수량이 예상보다 적다고 기록했습니다.,staff_note,low,neutral,false,직원 인수인계 기록 확인
train-0134,store-beta,staff_app,고객이 매장 음악 소리가 커서 주문 확인이 어렵다고 불만을 제기했습니다.,complaint,low,negative,true,고객 불편 내용 확인 후 응대 기록
train-0135,store-gamma,delivery,매장 바닥에 음료가 쏟아져 고객이 미끄러질 위험이 있습니다.,safety,high,negative,true,즉시 현장 안전 조치
train-0136,store-delta,counter,샌드위치 재고가 부족해 이후 주문 처리에 지연 가능성이 있습니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,inventory,high,neutral,true,대체 상품 안내
train-0137,store-alpha,phone,전화 문의에서 결제 취소가 반영되지 않아 고객이 환불 상태 확인을 요청했습니다.,refund,high,negative,true,주문 번호 확인 후 취소 상태 확인
train-0138,store-beta,mobile_order,배달 기사 도착 후에도 디저트 준비가 끝나지 않아 지연 안내가 필요합니다.,delay,medium,negative,true,지연 원인 확인 후 고객에게 공지
train-0139,store-gamma,staff_app,포장 상태가 불량해 샐러드 내용물이 새었다는 문의가 들어왔습니다.,quality,medium,negative,true,온도와 포장 상태 점검
train-0140,store-delta,delivery,배달 주문에서 사이드 메뉴 1개가 누락되어 고객이 빠른 재배송을 요청했습니다.,order_issue,high,negative,true,누락 상품 재제공 또는 환불 안내
train-0141,store-alpha,counter,마감 근무자가 냉장고 온도 기록표가 비어 있어 확인이 필요하다고 남겼습니다. 운영자는 처리 상태를 기록해야 합니다.,staff_note,medium,neutral,true,직원 인수인계 기록 확인
train-0142,store-beta,phone,고객이 직원 안내가 충분하지 않아 다시 설명을 요청했습니다.,complaint,medium,negative,true,고객 불편 내용 확인 후 응대 기록
train-0143,store-gamma,mobile_order,고객이 입구 근처에서 넘어짐 사고를 겪어 안전 확인이 필요합니다.,safety,medium,negative,true,즉시 현장 안전 조치
train-0144,store-delta,staff_app,인기 메뉴 원재료가 예상보다 빨리 소진되어 품절 안내가 필요합니다.,inventory,medium,neutral,true,재고 확인 후 발주 또는 품절 안내
train-0145,store-alpha,delivery,중복 결제 가능성이 있어 아이스 아메리카노 주문의 환불 가능 여부를 확인해야 합니다.,refund,high,negative,true,결제 내역 확인 후 환불 절차 안내
train-0146,store-beta,counter,점심 시간 주문이 몰려 대기 시간이 길어졌고 고객이 빠른 안내를 요청했습니다.,delay,medium,negative,true,지연 원인 확인 후 고객에게 공지
train-0147,store-gamma,phone,냉장 진열대 온도가 10도로 올라 상품 상태 점검이 필요합니다.,quality,medium,negative,true,온도와 포장 상태 점검
train-0148,store-delta,mobile_order,영수증에는 세트 메뉴가 표시되지만 고객은 단품만 받았다고 문의했습니다.,order_issue,medium,negative,true,누락 상품 재제공 또는 환불 안내
train-0149,store-alpha,staff_app,신입 직원이 환불 요청 시 주문 번호와 결제 수단을 먼저 확인해야 하는지 질문했습니다.,staff_note,low,neutral,true,마감 체크리스트에 반영
train-0150,store-beta,delivery,대기 줄 안내가 명확하지 않아 고객이 순서 문제로 항의했습니다.,complaint,medium,negative,true,매장 환경 점검
train-0151,store-gamma,counter,카운터 통로에 박스가 쌓여 이동 동선이 막혔습니다. 운영자는 처리 상태를 기록해야 합니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,safety,high,negative,true,즉시 현장 안전 조치
train-0152,store-delta,phone,주방 창고 재고와 POS 재고 수량이 일치하지 않습니다.,inventory,medium,neutral,true,재고 확인 후 발주 또는 품절 안내
train-0153,store-alpha,mobile_order,고객이 취소 버튼을 눌렀지만 매장에는 주문이 남아 있어 환불 절차를 문의했습니다.,refund,medium,negative,true,결제 내역 확인 후 환불 절차 안내
train-0154,store-beta,staff_app,모바일 주문 완료 시간이 지났지만 상품 준비 상태가 바뀌지 않았습니다.,delay,high,negative,true,예상 대기 시간 안내
train-0155,store-gamma,delivery,고객이 음료 맛이 평소와 다르다고 제조 기준 확인을 요청했습니다.,quality,high,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0156,store-delta,counter,주문 번호와 픽업 상품이 일치하지 않아 매장 확인이 필요합니다.,order_issue,high,negative,true,누락 상품 재제공 또는 환불 안내
train-0157,store-alpha,phone,카운터 담당자가 다음 근무자에게 청소 상태를 인수인계했습니다.,staff_note,low,neutral,false,마감 체크리스트에 반영
train-0158,store-beta,mobile_order,매장 입구 안내 문구가 부족해 고객이 이용 방법을 문의했습니다.,complaint,low,negative,true,매장 환경 점검
